pet_id,issue_date,listing_date,condition,color_type,X1,X2,log_days_btw_issue_list,listing_year,issue_year,listing_month,issue_month,length(cm),height(cm),size,breed_category,pet_category
ANSL_69903,2016-07-10 00:00:00,2016-09-21 16:25:00,2.0,Brown Tabby,13,9,4.29,2016,2016,9,7,80.0,7.78,622.4,0.0,1
ANSL_66892,2013-11-21 00:00:00,2018-12-27 17:47:00,1.0,White,13,9,7.53,2018,2013,12,11,72.0,14.19,1021.68,0.0,2
ANSL_69750,2014-09-28 00:00:00,2016-10-19 08:24:00,-1.0,Brown,15,4,6.62,2016,2014,10,9,15.0,40.9,613.5,2.0,4
ANSL_71623,2016-12-31 00:00:00,2019-01-25 18:30:00,1.0,White,0,1,6.63,2019,2016,1,12,62.0,17.82,1104.84,0.0,2
ANSL_57969,2017-09-28 00:00:00,2017-11-19 09:38:00,2.0,Black,18,4,3.95,2017,2017,11,9,50.0,11.06,553.0,0.0,1
ANSL_52200,2017-10-25 00:00:00,2019-03-10 13:18:00,0.0,Red,0,7,6.22,2019,2017,3,10,92.0,29.56,2719.52,1.0,2
ANSL_75444,2018-11-06 00:00:00,2019-04-09 16:00:00,2.0,Brown Tabby,0,1,5.04,2019,2018,4,11,14.000000000000002,40.24,563.3600000000001,0.0,1
ANSL_52759,2018-06-05 00:00:00,2018-09-02 17:04:00,0.0,White,7,1,4.49,2018,2018,9,6,15.0,25.48,382.2,1.0,1
ANSL_74632,2015-10-10 00:00:00,2016-08-04 16:29:00,2.0,Brown,13,9,5.7,2016,2015,8,10,5.0,38.22,191.1,1.0,2
ANSL_56464,2014-02-18 00:00:00,2017-03-17 11:38:00,2.0,Brown,13,9,7.02,2017,2014,3,2,55.00000000000001,21.26,1169.3000000000002,1.0,2
ANSL_69485,2004-11-17 00:00:00,2016-12-15 13:33:00,0.0,Tricolor,0,1,8.39,2016,2004,12,11,30.0,23.06,691.8,1.0,2
ANSL_51014,2017-06-17 00:00:00,2018-02-08 09:00:00,2.0,Brown Tabby,16,9,5.46,2018,2017,2,6,44.0,40.32,1774.08,1.0,1
ANSL_76771,2017-02-07 00:00:00,2019-05-10 16:42:00,1.0,Black,13,9,6.71,2019,2017,5,2,20.0,30.78,615.6,0.0,2
ANSL_69252,2016-11-29 00:00:00,2017-05-31 00:00:00,1.0,White,13,9,5.21,2017,2016,5,11,45.0,5.39,242.54999999999998,0.0,2
ANSL_58085,2018-01-29 00:00:00,2018-05-02 17:46:00,0.0,Calico,0,1,4.53,2018,2018,5,1,48.0,30.54,1465.92,1.0,1
ANSL_63686,2016-07-20 00:00:00,2016-10-10 12:14:00,1.0,Black,13,9,4.41,2016,2016,10,7,18.0,49.05,882.9,0.0,1
ANSL_66127,2016-03-20 00:00:00,2016-11-03 13:55:00,1.0,Red,7,1,5.43,2016,2016,11,3,88.0,49.5,4356.0,0.0,2
ANSL_52366,2009-01-06 00:00:00,2019-01-27 11:56:00,1.0,Black,0,7,8.21,2019,2009,1,1,93.0,14.83,1379.19,0.0,2
ANSL_55607,2013-11-28 00:00:00,2017-12-28 00:00:00,2.0,Brown Brindle,13,9,7.31,2017,2013,12,11,76.0,38.99,2963.2400000000002,1.0,2
ANSL_72451,2018-08-23 00:00:00,2018-11-29 11:46:00,0.0,Black,0,1,4.58,2018,2018,11,8,96.0,24.33,2335.68,1.0,1
ANSL_66055,2008-01-25 00:00:00,2016-08-15 11:27:00,1.0,Brown Tabby,0,1,8.05,2016,2008,8,1,66.0,36.01,2376.66,0.0,1
ANSL_50488,2018-01-07 00:00:00,2018-07-28 12:36:00,-1.0,Brown,11,4,5.31,2018,2018,7,1,45.0,14.0,630.0,2.0,4
ANSL_68751,2018-03-14 00:00:00,2018-05-24 17:10:00,0.0,White,7,1,4.26,2018,2018,5,3,92.0,49.5,4554.0,1.0,2
ANSL_57387,2014-11-22 00:00:00,2017-04-10 16:55:00,0.0,Blue,13,9,6.77,2017,2014,4,11,31.0,49.04,1520.24,1.0,2
ANSL_67782,2012-08-02 00:00:00,2019-01-07 00:00:00,2.0,Black,13,9,7.76,2019,2012,1,8,51.0,45.53,2322.03,0.0,2
ANSL_76397,2018-04-11 00:00:00,2019-05-02 14:16:00,1.0,Black,0,7,5.96,2019,2018,5,4,80.0,37.17,2973.6000000000004,0.0,2
ANSL_59210,2017-12-30 00:00:00,2018-04-25 17:41:00,0.0,Tortie,0,1,4.75,2018,2017,4,12,53.0,35.06,1858.18,1.0,1
ANSL_56018,2011-01-25 00:00:00,2017-03-10 12:21:00,1.0,Gray,0,7,7.71,2017,2011,3,1,32.0,48.92,1565.44,0.0,2
ANSL_53325,2015-09-01 00:00:00,2016-09-23 18:16:00,1.0,Fawn,0,7,5.96,2016,2015,9,9,98.0,14.02,1373.96,0.0,2
ANSL_52456,2010-07-18 00:00:00,2018-02-18 14:46:00,0.0,Tricolor,0,7,7.93,2018,2010,2,7,68.0,22.33,1518.4399999999998,1.0,2
ANSL_55113,2013-11-29 00:00:00,2016-12-28 16:15:00,1.0,Buff,0,1,7.03,2016,2013,12,11,16.0,27.19,435.04,0.0,2
ANSL_73983,2005-10-04 00:00:00,2018-10-27 00:00:00,1.0,White,13,9,8.47,2018,2005,10,10,60.0,49.36,2961.6,0.0,2
ANSL_62164,2009-02-13 00:00:00,2017-12-14 15:49:00,0.0,Black,0,1,8.08,2017,2009,12,2,83.0,22.34,1854.22,1.0,2
ANSL_53732,2017-07-28 00:00:00,2019-03-27 15:40:00,0.0,White,0,1,6.41,2019,2017,3,7,92.0,37.62,3461.04,1.0,1
ANSL_69635,2017-05-26 00:00:00,2018-06-21 15:15:00,2.0,White,0,7,5.97,2018,2017,6,5,16.0,48.19,771.04,1.0,2
